genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbols
ENSDARG00000005451,1459.137871,-6.008386723,0.165824667,-36.23337121,1.8199999999999997e-287,3.9e-283,gdi2
ENSDARG00000039208,1104.561566,5.455141074,0.169878629,32.11199145,3.0000000000000003e-226,3.22e-222,nasp
ENSDARG00000042004,671.7816928,-5.834043848,0.210957681,-27.65504352,2.43e-168,1.74e-164,nfya
ENSDARG00000104960,484.745122,-5.332507432,0.218689955,-24.38386999,2.54e-131,1.3600000000000001e-127,si:ch211-11n16.3
ENSDARG00000062650,597.0328416,-7.107356621,0.315801865,-22.50574619,3.65e-112,1.5599999999999999e-108,rif1
ENSDARG00000093702,978.6748642,-2.387073676,0.10975085,-21.7499334,6.92e-105,2.47e-101,si:dkey-126g1.9
ENSDARG00000003429,468.3700056,-6.363166669,0.305237743,-20.84659191,1.64e-96,5.02e-93,hnrnpdl
ENSDARG00000092870,368.1086859,-3.263373636,0.160208523,-20.36953825,3.12e-92,8.359999999999999e-89,BX936337.1
ENSDARG00000101508,321.289494,-5.465762905,0.276958625,-19.73494385,1.0800000000000001e-86,2.58e-83,nr6a1a
ENSDARG00000071644,299.0246323,-3.8019202,0.201338099,-18.88326259,1.57e-79,3.36e-76,si:dkey-19a16.7
ENSDARG00000100562,759.0345548,-2.17568151,0.115688005,-18.80645714,6.69e-79,1.3e-75,CABZ01080702.1
ENSDARG00000098803,1145.741382,1.772778884,0.098256532,18.04235152,9.060000000000001e-73,1.62e-69,cyp2aa4
ENSDARG00000075445,281.5274981,-6.255483297,0.350434202,-17.85066431,2.86e-71,4.71e-68,psmb5
ENSDARG00000093052,205.6677772,5.339816155,0.310524946,17.196094,2.8400000000000003e-66,4.35e-63,c6
ENSDARG00000061480,251.1476122,6.024278216,0.35148874,17.13932064,7.55e-66,1.08e-62,si:ch211-132b12.1
ENSDARG00000012881,395.1126816,3.092427948,0.180986714,17.08649146,1.8700000000000001e-65,2.51e-62,slc4a1a
ENSDARG00000092644,325.2581481,-4.38261735,0.257014165,-17.05204593,3.38e-65,4.26e-62,ago1
ENSDARG00000079305,2421.99579,2.734995007,0.160744315,17.01456758,6.4e-65,7.63e-62,hbae3
ENSDARG00000021082,1400.291294,-2.060303297,0.122005692,-16.88694403,5.6100000000000004e-64,6.34e-61,sec31a
ENSDARG00000090190,916.0766521,-2.039654191,0.122388739,-16.66537469,2.34e-62,2.51e-59,bcam
ENSDARG00000099970,6078.216378,-2.167628437,0.131730571,-16.45501438,7.72e-61,7.89e-58,CR383676.1
ENSDARG00000039217,191.1207813,5.623556956,0.345888767,16.25828155,1.95e-59,1.9e-56,orc1
ENSDARG00000014329,4085.89173,-1.674232743,0.104372437,-16.04094719,6.61e-58,6.1699999999999995e-55,npm1a
ENSDARG00000042492,475.9395143,-8.487169741,0.530501762,-15.9983818,1.31e-57,1.1699999999999999e-54,si:dkey-250d21.1
ENSDARG00000104283,355.8401214,-3.368458258,0.210611369,-15.99371523,1.41e-57,1.2099999999999998e-54,cdc42bpaa
ENSDARG00000003616,185.9009516,-4.877175433,0.309808574,-15.74254503,7.730000000000001e-56,6.38e-53,arih1
ENSDARG00000105095,220.0699843,-6.555758327,0.417898303,-15.68744903,1.84e-55,1.4599999999999998e-52,AL929028.1
ENSDARG00000093317,210.1395049,6.388738973,0.408103213,15.65471374,3.0799999999999998e-55,2.3599999999999996e-52,si:ch211-209j10.6
ENSDARG00000068637,647.655,-9.348452158,0.600424389,-15.56974088,1.1699999999999999e-54,8.649999999999999e-52,si:ch211-281l24.3
ENSDARG00000068582,292.5943699,-2.66523136,0.17141371,-15.54853083,1.63e-54,1.16e-51,rnf44
ENSDARG00000078683,207.0154463,-3.606499729,0.233920049,-15.41765979,1.25e-53,8.62e-51,RNF14
ENSDARG00000075527,1580.36234,-2.938512969,0.190915616,-15.3916847,1.86e-53,1.25e-50,zgc:174154
ENSDARG00000056427,336.91147,2.458007769,0.160724114,15.29333536,8.47e-53,5.51e-50,auts2a
ENSDARG00000069065,457.0855516,2.097550608,0.137254702,15.28217674,1.01e-52,6.34e-50,btg3
ENSDARG00000039213,158.8801639,4.814554777,0.317272983,15.17480225,5.189999999999999e-52,3.18e-49,prpf38a
ENSDARG00000075898,325.4976249,2.329225775,0.154223435,15.1029302,1.55e-51,9.23e-49,spata7
ENSDARG00000096990,232.5968768,2.864401837,0.192321615,14.89381128,3.62e-50,2.1e-47,si:ch1073-340i21.2
ENSDARG00000101019,197.5708091,-3.500735921,0.237298562,-14.75245314,2.97e-49,1.6799999999999999e-46,ext1b
ENSDARG00000062248,334.2250195,-2.437642211,0.165263048,-14.75007414,3.07e-49,1.69e-46,ptpn21
ENSDARG00000017014,4025.421192,-1.245370276,0.084720178,-14.69980715,6.46e-49,3.47e-46,ywhae2
ENSDARG00000114529,296.2711657,-2.658553501,0.18199127,-14.60813751,2.4899999999999997e-48,1.3e-45,CU457778.3
ENSDARG00000060309,210.4703911,-3.03998503,0.208333634,-14.59190706,3.16e-48,1.62e-45,srgap3
ENSDARG00000025468,163.8624148,-4.36081526,0.301572151,-14.46027178,2.16e-47,1.0800000000000001e-44,bnip3la
ENSDARG00000098857,151.1435177,-5.558126248,0.386973836,-14.36305439,8.83e-47,4.3e-44,lifra
ENSDARG00000045167,1514.495164,2.338408219,0.163076253,14.3393546,1.24e-46,5.92e-44,dlgap5
ENSDARG00000034409,149.4604746,5.706446303,0.399371801,14.2885559,2.58e-46,1.2e-43,pik3r3b
ENSDARG00000069608,167.3474263,-3.795479596,0.266752191,-14.22848518,6.0999999999999996e-46,2.78e-43,palm2
ENSDARG00000069122,161.3835076,-5.081559663,0.357234641,-14.22471137,6.44e-46,2.8800000000000003e-43,si:ch211-216l23.2
ENSDARG00000019239,160.3711837,4.874478176,0.343973175,14.17109977,1.38e-45,6.060000000000001e-43,cul1a
ENSDARG00000028676,628.8250561,1.946744382,0.137883455,14.1187671,2.9099999999999996e-45,1.2499999999999998e-42,nuak1b
ENSDARG00000056621,1258.495798,-1.79811695,0.127370096,-14.1172615,2.97e-45,1.2499999999999998e-42,ctcf
ENSDARG00000104483,166.2138239,-4.083438517,0.289599543,-14.10029338,3.78e-45,1.56e-42,gipc1
