GENE	SYMBOL	GE
ENSDARG00000103202	CR383668.1	Gene Expression
ENSDARG00000009657	fgfr1op2	Gene Expression
ENSDARG00000096156	si:dkey-21h14.12	Gene Expression
ENSDARG00000076160	si:dkey-285e18.2	Gene Expression
ENSDARG00000117163	znf1114	Gene Expression
ENSDARG00000096187	si:dkey-21h14.10	Gene Expression
ENSDARG00000076014	ENSDARG00000076014	Gene Expression
ENSDARG00000098876	si:dkey-199m13.5	Gene Expression
ENSDARG00000031930	erc1b	Gene Expression
ENSDARG00000103471	si:dkey-199m13.4	Gene Expression
ENSDARG00000093665	si:dkey-285e18.5	Gene Expression
ENSDARG00000098144	si:dkey-285e18.6	Gene Expression
ENSDARG00000093658	tm7sf3	Gene Expression
ENSDARG00000095324	galnt8b.2	Gene Expression
ENSDARG00000098510	zgc:174650	Gene Expression
ENSDARG00000021336	pax4	Gene Expression
ENSDARG00000094646	dyrk2	Gene Expression
ENSDARG00000021595	lhfpl3	Gene Expression
ENSDARG00000096153	si:dkey-21h14.9	Gene Expression
ENSDARG00000095200	si:ch211-197e7.1	Gene Expression
ENSDARG00000096463	si:dkeyp-82h4.1	Gene Expression
ENSDARG00000102062	si:dkeyp-82h4.3	Gene Expression
ENSDARG00000090116	znf1136	Gene Expression
ENSDARG00000102464	wnt5b	Gene Expression
ENSDARG00000095149	znf1062	Gene Expression
ENSDARG00000092714	si:ch211-266a5.12	Gene Expression
ENSDARG00000112103	si:dkey-16p19.1	Gene Expression
ENSDARG00000096462	BX571664.1	Gene Expression
ENSDARG00000045801	fbxl14b	Gene Expression
ENSDARG00000096855	BX649324.2	Gene Expression
ENSDARG00000104074	znf1052	Gene Expression
ENSDARG00000097754	CR749763.5	Gene Expression
ENSDARG00000015623	ada2b	Gene Expression
ENSDARG00000102559	si:dkey-16p19.5	Gene Expression
ENSDARG00000030694	atp6v1e1b	Gene Expression
ENSDARG00000030598	nampta	Gene Expression
ENSDARG00000097811	BX324126.1	Gene Expression
ENSDARG00000101775	zgc:172014	Gene Expression
ENSDARG00000090160	zgc:173709	Gene Expression
ENSDARG00000045758	cracr2ab	Gene Expression
ENSDARG00000096491	si:ch211-73m21.1	Gene Expression
ENSDARG00000097971	BX957251.1	Gene Expression
ENSDARG00000045760	prmt8b	Gene Expression
ENSDARG00000096484	si:ch211-181p13.2	Gene Expression
ENSDARG00000031346	rbm17	Gene Expression
ENSDARG00000024211	ifng1	Gene Expression
ENSDARG00000096461	CR382294.1	Gene Expression
ENSDARG00000099327	zgc:174944	Gene Expression
ENSDARG00000017661	braf	Gene Expression
ENSDARG00000007523	kmt2e	Gene Expression
ENSDARG00000045671	ifng1r	Gene Expression
ENSDARG00000045672	il26	Gene Expression
ENSDARG00000098115	si:dkey-178j11.5	Gene Expression
ENSDARG00000091561	si:dkey-156k2.4	Gene Expression
ENSDARG00000026839	med21	Gene Expression
ENSDARG00000088961	si:dkey-16p19.5	Gene Expression
ENSDARG00000089179	si:dkey-16p6.1	Gene Expression
ENSDARG00000093424	znf1135	Gene Expression
ENSDARG00000101374	si:dkey-11n14.1	Gene Expression
ENSDARG00000088616	si:ch211-152l15.2	Gene Expression
ENSDARG00000045544	hgfa	Gene Expression
ENSDARG00000115818	znf1099	Gene Expression
ENSDARG00000077356	sypl1	Gene Expression
ENSDARG00000045673	il22	Gene Expression
ENSDARG00000097907	CU928083.1	Gene Expression
ENSDARG00000012684	atp2b1a	Gene Expression
ENSDARG00000093557	BX842699.1	Gene Expression
ENSDARG00000092583	si:dkey-16p19.5	Gene Expression
ENSDARG00000101849	adipor2	Gene Expression
ENSDARG00000091477	znf1066	Gene Expression
ENSDARG00000113005	si:dkey-47k16.4	Gene Expression
ENSDARG00000045675	mdm1	Gene Expression
ENSDARG00000096065	si:dkey-156k2.7	Gene Expression
ENSDARG00000099699	BX649620.1	Gene Expression
ENSDARG00000096481	si:dkey-16p19.8	Gene Expression
ENSDARG00000001781	tspan11	Gene Expression
ENSDARG00000116546	znf987	Gene Expression
ENSDARG00000016979	pmpcb	Gene Expression
ENSDARG00000096114	BX784029.2	Gene Expression
ENSDARG00000092596	si:dkeyp-44d3.1	Gene Expression
ENSDARG00000100479	si:dkey-43f9.4	Gene Expression
ENSDARG00000103186	si:ch73-389k6.1	Gene Expression
ENSDARG00000098143	si:dkey-57l19.1	Gene Expression
ENSDARG00000070477	dnajc2	Gene Expression
ENSDARG00000087743	si:dkey-156k2.8	Gene Expression
ENSDARG00000094888	znf1061	Gene Expression
ENSDARG00000117132	BX663613.1	Gene Expression
ENSDARG00000106667	znf977	Gene Expression
ENSDARG00000110946	znf1110	Gene Expression
ENSDARG00000045490	ndufb2	Gene Expression
ENSDARG00000089860	atxn7l1	Gene Expression
ENSDARG00000101960	si:dkeyp-44d3.3	Gene Expression
ENSDARG00000097073	CU928073.1	Gene Expression
ENSDARG00000039843	znf800b	Gene Expression
ENSDARG00000093994	znf1058	Gene Expression
ENSDARG00000089159	acot14	Gene Expression
ENSDARG00000104064	si:ch211-127b6.2	Gene Expression
ENSDARG00000096037	si:ch211-214j24.14	Gene Expression
ENSDARG00000096222	si:ch211-245n8.4	Gene Expression
ENSDARG00000094034	znf1045	Gene Expression
ENSDARG00000014804	cacna2d1a	Gene Expression
ENSDARG00000018111	kdm7aa	Gene Expression
ENSDARG00000096218	BX784029.3	Gene Expression
ENSDARG00000102370	znf1094	Gene Expression
ENSDARG00000101916	si:dkeyp-44d3.5	Gene Expression
ENSDARG00000096131	BX649349.2	Gene Expression
ENSDARG00000088181	mpped1	Gene Expression
ENSDARG00000015931	snap91b	Gene Expression
ENSDARG00000094177	si:ch211-208f21.2	Gene Expression
ENSDARG00000102473	zgc:171673	Gene Expression
ENSDARG00000045850	ccdc167	Gene Expression
ENSDARG00000114172	znf996	Gene Expression
ENSDARG00000094545	BX649349.1	Gene Expression
ENSDARG00000103143	si:dkey-19c16.12	Gene Expression
ENSDARG00000101690	si:ch73-158p21.2	Gene Expression
ENSDARG00000077220	si:ch211-208f21.3	Gene Expression
ENSDARG00000109821	si:dkey-156j15.1	Gene Expression
ENSDARG00000103229	si:dkey-265e15.5	Gene Expression
ENSDARG00000098071	znf1049	Gene Expression
ENSDARG00000113626	znf976	Gene Expression
ENSDARG00000100061	si:dkey-16p6.1	Gene Expression
ENSDARG00000101030	si:ch73-158p21.3	Gene Expression
ENSDARG00000102316	si:dkey-237m9.2	Gene Expression
ENSDARG00000077654	grm8a	Gene Expression
ENSDARG00000102098	CR954226.2	Gene Expression
ENSDARG00000114894	znf1026	Gene Expression
ENSDARG00000102837	znf1145	Gene Expression
ENSDARG00000102542	si:ch211-268b14.2	Gene Expression
ENSDARG00000057983	svopl	Gene Expression
ENSDARG00000098281	si:dkey-237m9.1	Gene Expression
ENSDARG00000070546	msgn1	Gene Expression
ENSDARG00000045676	calua	Gene Expression
ENSDARG00000034300	sema3c	Gene Expression
ENSDARG00000045522	acot15	Gene Expression
ENSDARG00000020015	mrps33	Gene Expression
ENSDARG00000101675	zgc:123107	Gene Expression
ENSDARG00000019235	sema3aa	Gene Expression
ENSDARG00000063097	scube1	Gene Expression
ENSDARG00000045914	si:ch211-51e12.7	Gene Expression
ENSDARG00000100311	si:dkey-165e24.1	Gene Expression
ENSDARG00000105724	FP074874.2	Gene Expression
ENSDARG00000105810	FP074874.3	Gene Expression
ENSDARG00000104208	zgc:172128	Gene Expression
ENSDARG00000102679	FP074874.1	Gene Expression
ENSDARG00000101883	zgc:172128	Gene Expression
ENSDARG00000100294	zgc:113209	Gene Expression
ENSDARG00000045677	opn1sw1	Gene Expression
ENSDARG00000100578	si:dkeyp-90h9.1	Gene Expression
